name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999
PretaxIncome,"61,121,000,000","33,818,000,000","4,181,000,000","9,941,000,000","4,409,000,000","2,970,000,000","3,896,000,000","3,196,000,000","1,905,000,000","743,000,000","755,000,000","510,000,000","662,039,000","663,396,000","271,169,000","-82,294,000","-42,954,000","901,341,000","494,480,000","356,788,000","107,028,000","86,673,000","150,557,000","252,749,000","144,808,000","60,371,000","4,500,000"
TaxProvision,"8,113,000,000","4,058,000,000","-187,000,000","189,000,000","77,000,000","174,000,000","-245,000,000","149,000,000","239,000,000","129,000,000","124,000,000","70,000,000","99,503,000","82,306,000","18,023,000","-14,307,000","-12,913,000","103,696,000","46,350,000","55,612,000","18,413,000","12,254,000","59,758,000","75,825,000","46,339,000","19,412,000","400,000"
NetIncomeCommonStockholders,"53,008,000,000","29,760,000,000","4,368,000,000","9,752,000,000","4,332,000,000","2,796,000,000","4,141,000,000","3,047,000,000","1,666,000,000","614,000,000","631,000,000","440,000,000","562,536,000","581,090,000","253,146,000","-67,987,000","-30,041,000","797,645,000","448,834,000","301,176,000","88,615,000","74,419,000","90,799,000","176,924,000","98,469,000","40,959,000","4,100,000"
	NetIncome,"53,008,000,000","29,760,000,000","4,368,000,000","9,752,000,000","4,332,000,000","2,796,000,000","4,141,000,000","3,047,000,000","1,666,000,000","614,000,000","631,000,000","440,000,000","562,536,000","581,090,000","253,146,000","-67,987,000","-30,041,000","797,645,000","448,834,000","301,176,000","88,615,000","74,419,000","90,799,000","176,924,000","98,469,000","40,959,000","4,100,000"
		NetIncomeIncludingNoncontrollingInterests,"53,008,000,000","29,760,000,000","4,368,000,000","9,752,000,000","4,332,000,000","2,796,000,000","4,141,000,000","3,047,000,000","1,666,000,000","614,000,000","631,000,000","440,000,000","562,536,000","581,090,000","253,146,000","-67,987,000","-30,041,000","797,645,000","448,834,000","301,176,000","88,615,000","74,419,000","90,799,000","176,924,000","98,469,000","40,959,000","4,100,000"
			NetIncomeContinuousOperations,"53,008,000,000","29,760,000,000","4,368,000,000","9,752,000,000","4,332,000,000","2,796,000,000","4,141,000,000","3,047,000,000","1,666,000,000","614,000,000","631,000,000","440,000,000","562,536,000","581,090,000","253,146,000","-67,987,000","-30,041,000","797,645,000","448,130,000","301,176,000","88,615,000","74,419,000","90,799,000","176,924,000","98,469,000","40,959,000","4,100,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,"704,000",,,,,,,,
DilutedNIAvailtoComStockholders,"53,008,000,000","29,760,000,000","4,368,000,000","9,752,000,000","4,332,000,000","2,796,000,000","4,141,000,000","3,047,000,000","1,666,000,000","614,000,000","631,000,000","440,000,000","562,536,000","581,090,000","253,146,000","-67,987,000","-30,041,000","797,645,000","448,834,000","301,176,000","88,615,000","74,419,000","90,799,000","176,924,000","98,469,000","40,959,000","4,100,000"
BasicEPS,"2.155","1.205","0.176","0.391","0.176","0.115","0.17","0.127","0.077","0.028","0.029","0.019","0.023","0.024","0.011","-0.003","-0.001","0.036","0.021","0.015","0.005","0.004","0.005","0.01","0.006","0.003","0.001"
DilutedEPS,"2.133","1.193","0.174","0.385","0.173","0.113","0.166","0.121","0.064","0.027","0.028","0.019","0.023","0.024","0.011","-0.003","-0.001","0.033","0.019","0.014","0.004","0.004","0.005","0.009","0.005","0.002","0"
BasicAverageShares,"24,631,500,000","24,690,000,000","24,870,000,000","24,960,000,000","24,680,000,000","24,360,000,000","24,320,000,000","23,960,000,000","21,640,000,000","21,720,000,000","22,092,760,000","23,515,720,000","24,772,960,000","24,145,840,000","23,007,080,000","21,982,960,000","21,925,040,000","22,004,320,000","21,133,673,160","20,352,623,680","19,917,481,240","19,301,229,400","18,412,353,840","17,153,223,400","15,711,904,040","14,331,394,320","6,991,200,000"
DilutedAverageShares,"24,900,500,000","24,940,000,000","25,070,000,000","25,350,000,000","25,120,000,000","24,720,000,000","25,000,000,000","25,280,000,000","25,960,000,000","22,760,000,000","22,522,720,000","23,780,680,000","24,998,280,000","24,654,840,000","23,547,360,000","21,982,960,000","21,925,040,000","24,269,280,000","23,478,500,760","21,931,274,360","21,086,896,560","20,714,482,760","20,197,061,480","20,518,620,680","19,105,727,120","17,318,380,800","13,148,640,000"
TotalOperatingIncomeAsReported,"59,582,000,000","32,972,000,000","4,224,000,000","10,041,000,000","4,532,000,000","2,846,000,000","3,804,000,000","3,210,000,000","1,934,000,000","747,000,000","759,000,000","496,000,000","648,239,000","648,299,000","255,747,000","-98,945,000","-70,700,000","836,346,000","453,452,000","336,664,000","95,176,000","90,157,000","143,986,000","241,732,000","128,135,000","58,617,000","4,500,000"
TotalExpenses,"36,725,000,000","27,950,000,000","21,397,000,000","16,873,000,000","12,143,000,000","8,072,000,000","7,912,000,000","6,504,000,000","4,973,000,000","4,132,000,000","3,923,000,000","3,634,000,000","3,631,920,000","3,349,631,000","3,344,562,000","3,425,390,000","3,468,691,000","3,261,514,000","2,615,319,000","2,039,023,000","1,914,857,000","1,729,288,000","1,765,461,000","1,117,709,000","607,129,000","315,888,000","153,700,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"53,008,000,000","29,760,000,000","4,368,000,000","9,752,000,000","4,332,000,000","2,796,000,000","4,141,000,000","3,047,000,000","1,666,000,000","614,000,000","631,000,000","440,000,000","562,536,000","581,090,000","253,146,000","-67,987,000","-30,041,000","797,645,000","448,130,000","301,176,000","88,615,000","74,419,000","90,799,000","176,924,000","98,469,000","40,959,000","4,100,000"
NormalizedIncome,"53,008,000,000","29,760,000,000","5,436,870,000","9,752,000,000","4,332,000,000","2,796,000,000","4,141,000,000","3,047,000,000","1,668,625,000","722,337,000","631,000,000","440,000,000","562,536,000","581,090,000","199,965,000","-67,987,000","-964,439.61","796,972,435.233","448,828,730.444","313,550,968.216","88,123,191.221","86,040,394.956","90,799,000","187,009,582.898","98,473,079.982","40,948,823.177","4,100,000"
InterestIncome,"1,331,000,000","866,000,000","267,000,000","29,000,000","57,000,000","178,000,000","136,000,000","69,000,000","54,000,000","39,000,000","28,000,000","17,000,000","19,908,000","19,149,000","19,057,000","23,115,000","42,859,000",,,,,,,,,,
InterestExpense,"251,000,000","257,000,000","262,000,000","236,000,000","184,000,000","52,000,000","58,000,000","61,000,000","58,000,000","47,000,000","46,000,000","10,000,000","3,294,000","3,089,000","3,127,000","3,320,000","406,000",,,,,,,,,,
NetInterestIncome,"1,080,000,000","609,000,000","5,000,000","-207,000,000","-127,000,000","126,000,000","78,000,000","8,000,000","-4,000,000","-8,000,000","-18,000,000","7,000,000","16,614,000","16,060,000","15,930,000","19,795,000","42,453,000",,,,,,,,,,
EBIT,"61,372,000,000","34,075,000,000","4,443,000,000","10,177,000,000","4,593,000,000","3,022,000,000","3,954,000,000","3,257,000,000","1,963,000,000","790,000,000","801,000,000","520,000,000","665,333,000","666,485,000","274,296,000","-78,974,000","-42,548,000","836,346,000","453,452,000","336,664,000","95,176,000","93,657,000","143,986,000","251,762,000","128,135,000","58,617,000","4,500,000"
EBITDA,"62,974,000,000","35,583,000,000","5,987,000,000","11,351,000,000","5,691,000,000","3,403,000,000","4,216,000,000","3,456,000,000","2,150,000,000","987,000,000","1,021,000,000","759,000,000","891,568,000","870,690,000","461,285,000","117,690,000","142,475,000","969,538,000","561,014,000","434,641,000","197,773,000","176,345,000","202,202,000","295,259,000","143,971,000","68,285,000","11,000,000"
ReconciledCostOfRevenue,"23,137,000,000","16,621,000,000","11,618,000,000","9,439,000,000","6,279,000,000","4,150,000,000","4,545,000,000","3,892,000,000","2,847,000,000","2,199,000,000","2,083,000,000","1,862,000,000","2,053,816,000","1,941,413,000","2,134,219,000","2,149,522,000","2,250,590,000","2,228,580,000","1,768,322,000","1,465,654,000","1,362,478,000","1,294,067,000","1,333,435,000","819,420,000","462,385,000","232,662,000","103,200,000"
ReconciledDepreciation,"1,602,000,000","1,508,000,000","1,544,000,000","1,174,000,000","1,098,000,000","381,000,000","262,000,000","199,000,000","187,000,000","197,000,000","220,000,000","239,000,000","226,235,000","204,205,000","186,989,000","196,664,000","185,023,000","133,192,000","107,562,000","97,977,000","102,597,000","82,688,000","58,216,000","43,497,000","15,836,000","9,668,000","6,500,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"53,008,000,000","29,760,000,000","4,368,000,000","9,752,000,000","4,332,000,000","2,796,000,000","4,141,000,000","3,047,000,000","1,666,000,000","614,000,000","631,000,000","440,000,000","562,536,000","581,090,000","253,146,000","-67,987,000","-30,041,000","797,645,000","448,130,000","301,176,000","88,615,000","74,419,000","90,799,000","176,924,000","98,469,000","40,959,000","4,100,000"
TotalUnusualItemsExcludingGoodwill,"0","0","-1,353,000,000","0","0",,"0","0","-3,000,000","-131,000,000","0","0","0","0","57,000,000","0","-41,575,000","760,000","-771,000","-14,660,000","594,000","-13,535,000",,"-14,408,000","-6,000","15,000","6,800,000"
TotalUnusualItems,"0","0","-1,353,000,000","0","0",,"0","0","-3,000,000","-131,000,000","0","0","0","0","57,000,000","0","-41,575,000","760,000","-771,000","-14,660,000","594,000","-13,535,000",,"-14,408,000","-6,000","15,000","6,800,000"
NormalizedEBITDA,"62,974,000,000","35,583,000,000","7,340,000,000","11,351,000,000","5,691,000,000","3,403,000,000","4,216,000,000","3,456,000,000","2,153,000,000","1,118,000,000","1,021,000,000","759,000,000","891,568,000","870,690,000","404,285,000","117,690,000","184,050,000","968,778,000","561,785,000","449,301,000","197,179,000","189,880,000","202,202,000","309,667,000","143,977,000","68,270,000","11,000,000"
TaxRateForCalcs,"0.133","0.12","0.21","0.019","0.017","0.059","0.27","0.047","0.125","0.173","0.165","0.138","0.15","0.124","0.067","0.174","0.301","0.115","0.094","0.156","0.172","0.141","0.397","0.3","0.32","0.322","0.089"
TaxEffectOfUnusualItems,"0","0","-284,130,000","0","0","0","0","0","-375,000","-22,663,000","0","0","0","0","3,819,000","0","-12,498,439.61","87,435.233","-72,269.556","-2,285,031.784","102,191.221","-1,913,605.044","0","-4,322,417.102","-1,920.018","4,823.177","0"
